ACCIDENT_YEAR,MONTH,LATITUDE,LONGITUDE,NATIONAL_PARK
2021,12,37.33460998535156,-118.39517974853516,Death_Valley
2022,1,36.75835037231445,-118.16718292236328,Death_Valley
2022,1,36.51042938232422,-117.22402191162108,Death_Valley
2022,1,37.37596130371094,-118.4374771118164,Death_Valley
2022,1,36.63764190673828,-118.08013153076172,Death_Valley
2022,1,36.79869079589844,-118.19722747802734,Death_Valley
2022,1,36.55965042114258,-118.0508270263672,Death_Valley
2022,2,36.419769287109375,-117.26844024658205,Death_Valley
2022,2,37.361129760742195,-118.4503173828125,Death_Valley
2022,2,36.34077835083008,-118.0210189819336,Death_Valley
2022,2,36.045928955078125,-117.94732666015624,Death_Valley
2022,2,36.33903884887695,-118.02056121826172,Death_Valley
2022,2,36.608108520507805,-118.06459808349608,Death_Valley
2022,3,36.605770111083984,-118.0634536743164,Death_Valley
2022,3,36.2445182800293,-117.98792266845705,Death_Valley
2022,3,36.42150115966797,-118.030029296875,Death_Valley
2022,3,37.388370513916016,-118.49703216552734,Death_Valley
2022,3,36.36756896972656,-118.02375793457033,Death_Valley
2022,3,36.306278228759766,-117.98094940185548,Death_Valley
2022,3,36.731990814208984,-118.14742279052734,Death_Valley
2022,3,36.32754898071289,-116.42298126220705,Death_Valley
2022,4,37.3321418762207,-118.39495086669922,Death_Valley
2022,4,36.36563873291016,-116.72528076171876,Death_Valley
2022,4,36.8903694152832,-118.24207305908205,Death_Valley
2022,4,36.89326858520508,-118.24205780029295,Death_Valley
2022,4,36.365989685058594,-118.0236587524414,Death_Valley
2022,5,36.89728164672851,-118.24163818359376,Death_Valley
2022,5,36.60546112060547,-118.0632095336914,Death_Valley
2022,6,35.979061126708984,-117.92462921142578,Death_Valley
2022,6,37.03178024291992,-118.2314224243164,Death_Valley
2022,6,36.80437850952149,-118.20082092285156,Death_Valley
2022,6,37.10514068603515,-118.25261688232422,Death_Valley
2022,6,36.39598083496094,-117.80792999267578,Death_Valley
2022,6,37.375831604003906,-118.4315185546875,Death_Valley
2022,6,37.36119842529297,-118.43389892578124,Death_Valley
2022,7,36.60253143310547,-118.0618133544922,Death_Valley
2022,7,37.362850189208984,-118.39527130126952,Death_Valley
2022,7,36.66489028930664,-118.0938720703125,Death_Valley
2022,7,36.00661087036133,-117.9348602294922,Death_Valley
2022,7,36.10306930541992,-117.96714019775392,Death_Valley
2022,7,36.58449935913086,-118.05745697021484,Death_Valley
2022,7,37.375850677490234,-118.41951751708984,Death_Valley
2022,7,36.337749481201165,-117.75357818603516,Death_Valley
2022,8,35.93613052368164,-116.26883697509766,Death_Valley
2022,8,36.26789855957031,-116.43411254882812,Death_Valley
2022,8,37.375999450683594,-118.4048080444336,Death_Valley
2022,8,37.1697998046875,-118.28961181640624,Death_Valley
2022,8,37.34186172485352,-118.48094177246094,Death_Valley
2022,9,37.361469268798835,-118.43026733398438,Death_Valley
2022,9,37.41503143310547,-117.96527099609376,Death_Valley
