National Park,Year,Month,Footfall
Kings_Canyon,2023,2,28696
Kings_Canyon,2023,3,71168
Kings_Canyon,2023,4,129953
Kings_Canyon,2023,5,113821
Kings_Canyon,2023,6,84699
Kings_Canyon,2023,7,90522
Kings_Canyon,2023,8,58241
Kings_Canyon,2023,9,33499
Kings_Canyon,2023,10,24095
Kings_Canyon,2023,11,16534
Kings_Canyon,2023,12,13791
Kings_Canyon,2024,1,20096
Kings_Canyon,2024,2,32384
Kings_Canyon,2024,3,90635
Kings_Canyon,2024,4,103491
Kings_Canyon,2024,5,120497
Kings_Canyon,2024,6,112327
Kings_Canyon,2024,7,91517
Kings_Canyon,2024,8,68821
Kings_Canyon,2024,9,31614
Kings_Canyon,2024,10,22987
Kings_Canyon,2024,11,24235
Kings_Canyon,2024,12,16869
Lassen_Volcanic,2015,1,8262
Lassen_Volcanic,2015,2,10980
Lassen_Volcanic,2015,3,31023
Lassen_Volcanic,2015,4,63211
Lassen_Volcanic,2015,5,106868
Lassen_Volcanic,2015,6,106166
Lassen_Volcanic,2015,7,70956
Lassen_Volcanic,2015,8,37395
Lassen_Volcanic,2015,9,8829
Lassen_Volcanic,2015,10,8106
Lassen_Volcanic,2015,11,9627
Lassen_Volcanic,2015,12,8730
Lassen_Volcanic,2016,1,8967
Lassen_Volcanic,2016,2,12294
Lassen_Volcanic,2016,3,29355
Lassen_Volcanic,2016,4,74193
Lassen_Volcanic,2016,5,6438
Lassen_Volcanic,2016,6,105114
Lassen_Volcanic,2016,7,88631
Lassen_Volcanic,2016,8,64396
Lassen_Volcanic,2016,9,8373
Lassen_Volcanic,2016,10,5430
Lassen_Volcanic,2016,11,9231
Lassen_Volcanic,2016,12,7203
Lassen_Volcanic,2017,1,7002
Lassen_Volcanic,2017,2,10518
Lassen_Volcanic,2017,3,31173
Lassen_Volcanic,2017,4,58880
Lassen_Volcanic,2017,5,122834
Lassen_Volcanic,2017,6,111514
Lassen_Volcanic,2017,7,88592
Lassen_Volcanic,2017,8,40581
Lassen_Volcanic,2017,9,10335
Lassen_Volcanic,2017,10,9393
Lassen_Volcanic,2017,11,10263
Lassen_Volcanic,2017,12,7194
Lassen_Volcanic,2018,1,7773
Lassen_Volcanic,2018,2,21216
Lassen_Volcanic,2018,3,34144
Lassen_Volcanic,2018,4,75220
Lassen_Volcanic,2018,5,114368
Lassen_Volcanic,2018,6,91422
Lassen_Volcanic,2018,7,75514
Lassen_Volcanic,2018,8,45236
Lassen_Volcanic,2018,9,9480
Lassen_Volcanic,2018,10,7605
Lassen_Volcanic,2018,11,8646
Lassen_Volcanic,2018,12,6561
Lassen_Volcanic,2019,1,7944
Lassen_Volcanic,2019,2,12477
Lassen_Volcanic,2019,3,25170
Lassen_Volcanic,2019,4,63803
Lassen_Volcanic,2019,5,105535
Lassen_Volcanic,2019,6,98109
Lassen_Volcanic,2019,7,75502
Lassen_Volcanic,2019,8,88428
Lassen_Volcanic,2019,9,12879
Lassen_Volcanic,2019,10,11985
Lassen_Volcanic,2019,11,10770
Lassen_Volcanic,2019,12,11655
Lassen_Volcanic,2020,1,6438
Lassen_Volcanic,2020,2,0
Lassen_Volcanic,2020,3,3108
Lassen_Volcanic,2020,4,83355
Lassen_Volcanic,2020,5,135668
Lassen_Volcanic,2020,6,120112
Lassen_Volcanic,2020,7,67992
Lassen_Volcanic,2020,8,72363
Lassen_Volcanic,2020,9,16947
Lassen_Volcanic,2020,10,13371
Lassen_Volcanic,2020,11,10455
Lassen_Volcanic,2020,12,8616
Lassen_Volcanic,2021,1,8847
Lassen_Volcanic,2021,2,18873
Lassen_Volcanic,2021,3,53906
Lassen_Volcanic,2021,4,105549
Lassen_Volcanic,2021,5,120113
Lassen_Volcanic,2021,6,558
Lassen_Volcanic,2021,7,0
Lassen_Volcanic,2021,8,14856
Lassen_Volcanic,2021,9,11484
Lassen_Volcanic,2021,10,6378
Lassen_Volcanic,2021,11,9894
Lassen_Volcanic,2021,12,8184
Lassen_Volcanic,2022,1,7764
Lassen_Volcanic,2022,2,13539
Lassen_Volcanic,2022,3,21836
Lassen_Volcanic,2022,4,70558
Lassen_Volcanic,2022,5,110025
Lassen_Volcanic,2022,6,94788
Lassen_Volcanic,2022,7,53204
Lassen_Volcanic,2022,8,41193
Lassen_Volcanic,2022,9,9063
Lassen_Volcanic,2022,10,6243
Lassen_Volcanic,2022,11,5475
Lassen_Volcanic,2022,12,5775
Lassen_Volcanic,2023,1,5775
Lassen_Volcanic,2023,2,6180
Lassen_Volcanic,2023,3,23184
Lassen_Volcanic,2023,4,52352
Lassen_Volcanic,2023,5,103383
Lassen_Volcanic,2023,6,83646
Lassen_Volcanic,2023,7,69877
Lassen_Volcanic,2023,8,44773
Lassen_Volcanic,2023,9,9495
Lassen_Volcanic,2023,10,9063
Lassen_Volcanic,2023,11,7116
Lassen_Volcanic,2023,12,6786
Lassen_Volcanic,2024,1,6072
Lassen_Volcanic,2024,2,6978
Lassen_Volcanic,2024,3,34227
Lassen_Volcanic,2024,4,72903
Lassen_Volcanic,2024,5,92058
Lassen_Volcanic,2024,6,16641
Lassen_Volcanic,2024,7,56526
Lassen_Volcanic,2024,8,42657
Lassen_Volcanic,2024,9,11793
Lassen_Volcanic,2024,10,3894
Lassen_Volcanic,2024,11,7527
Lassen_Volcanic,2024,12,6438
Pinnacles,2015,1,24192
Pinnacles,2015,2,26243
Pinnacles,2015,3,22618
Pinnacles,2015,4,16380
Pinnacles,2015,5,18472
Pinnacles,2015,6,13230
Pinnacles,2015,7,10757
Pinnacles,2015,8,12442
Pinnacles,2015,9,12918
Pinnacles,2015,10,13616
Pinnacles,2015,11,13054
Pinnacles,2015,12,20009
Pinnacles,2016,1,24605
Pinnacles,2016,2,27035
Pinnacles,2016,3,23360
Pinnacles,2016,4,17569
Pinnacles,2016,5,18818
Pinnacles,2016,6,16784
Pinnacles,2016,7,13419
Pinnacles,2016,8,10663
Pinnacles,2016,9,13980
Pinnacles,2016,10,16259
Pinnacles,2016,11,12696
Pinnacles,2016,12,13476
Pinnacles,2017,1,28618
Pinnacles,2017,2,34773
Pinnacles,2017,3,24776
Pinnacles,2017,4,20556
Pinnacles,2017,5,20705
Pinnacles,2017,6,15826
Pinnacles,2017,7,12781
Pinnacles,2017,8,15829
Pinnacles,2017,9,15473
Pinnacles,2017,10,17825
Pinnacles,2017,11,15909
Pinnacles,2017,12,18793
Pinnacles,2018,1,22351
Pinnacles,2018,2,25902
Pinnacles,2018,3,24843
Pinnacles,2018,4,27164
Pinnacles,2018,5,12797
Pinnacles,2018,6,15122
Pinnacles,2018,7,13192
Pinnacles,2018,8,13799
Pinnacles,2018,9,15851
Pinnacles,2018,10,16429
Pinnacles,2018,11,1154
Pinnacles,2018,12,11735
Pinnacles,2019,1,24681
Pinnacles,2019,2,16234
Pinnacles,2019,3,19398
Pinnacles,2019,4,19061
Pinnacles,2019,5,13016
Pinnacles,2019,6,16795
Pinnacles,2019,7,14165
Pinnacles,2019,8,14084
Pinnacles,2019,9,14786
Pinnacles,2019,10,12115
Pinnacles,2019,11,23959
Pinnacles,2019,12,22021
Pinnacles,2020,1,18537
Pinnacles,2020,2,1635
Pinnacles,2020,3,4640
Pinnacles,2020,4,10364
Pinnacles,2020,5,10508
Pinnacles,2020,6,8526
Pinnacles,2020,7,5850
Pinnacles,2020,8,15722
Pinnacles,2020,9,23139
Pinnacles,2020,10,20839
Pinnacles,2020,11,26793
Pinnacles,2020,12,31316
Pinnacles,2021,1,38402
Pinnacles,2021,2,39597
Pinnacles,2021,3,40064
Pinnacles,2021,4,37029
Pinnacles,2021,5,29502
Pinnacles,2021,6,18765
Pinnacles,2021,7,21721
Pinnacles,2021,8,23448
Pinnacles,2021,9,23187
Pinnacles,2021,10,19033
Pinnacles,2021,11,27724
Pinnacles,2021,12,30673
Pinnacles,2022,1,34712
Pinnacles,2022,2,23642
Pinnacles,2022,3,27948
Pinnacles,2022,4,22256
Pinnacles,2022,5,19551
Pinnacles,2022,6,19330
Pinnacles,2022,7,13898
Pinnacles,2022,8,17184
Pinnacles,2022,9,21697
Pinnacles,2022,10,16408
Pinnacles,2022,11,11164
Pinnacles,2022,12,21898
Pinnacles,2023,1,26109
Pinnacles,2023,2,56339
Pinnacles,2023,3,43708
Pinnacles,2023,4,26468
Pinnacles,2023,5,38823
Pinnacles,2023,6,22034
Pinnacles,2023,7,21513
Pinnacles,2023,8,23037
Pinnacles,2023,9,23851
Pinnacles,2023,10,26276
Pinnacles,2023,11,21517
Pinnacles,2023,12,20006
Pinnacles,2024,1,44547
Pinnacles,2024,2,35849
Pinnacles,2024,3,36859
Pinnacles,2024,4,32430
Pinnacles,2024,5,24309
Pinnacles,2024,6,24940
Pinnacles,2024,7,23964
Pinnacles,2024,8,25615
Pinnacles,2024,9,33745
Pinnacles,2024,10,30295
Pinnacles,2024,11,30342
Pinnacles,2024,12,26892
Redwood,2015,1,16051
Redwood,2015,2,30275
Redwood,2015,3,25597
Redwood,2015,4,39346
Redwood,2015,5,46980
Redwood,2015,6,69820
Redwood,2015,7,84987
Redwood,2015,8,65615
Redwood,2015,9,54037
Redwood,2015,10,36714
Redwood,2015,11,31566
Redwood,2015,12,26155
Redwood,2016,1,18194
Redwood,2016,2,18711
Redwood,2016,3,38638
Redwood,2016,4,42544
Redwood,2016,5,57045
Redwood,2016,6,72858
Redwood,2016,7,86244
Redwood,2016,8,63767
Redwood,2016,9,49344
Redwood,2016,10,46653
Redwood,2016,11,18915
Redwood,2016,12,23384
Redwood,2017,1,24830
Redwood,2017,2,16308
Redwood,2017,3,19301
Redwood,2017,4,32127
Redwood,2017,5,49170
Redwood,2017,6,59862
Redwood,2017,7,68427
Redwood,2017,8,51747
Redwood,2017,9,43677
Redwood,2017,10,31446
Redwood,2017,11,21096
Redwood,2017,12,27009
Redwood,2018,1,23502
Redwood,2018,2,16684
Redwood,2018,3,24118
Redwood,2018,4,32580
Redwood,2018,5,51464
Redwood,2018,6,70581
Redwood,2018,7,72787
Redwood,2018,8,57316
Redwood,2018,9,51968
Redwood,2018,10,35275
Redwood,2018,11,22477
Redwood,2018,12,23784
Redwood,2019,1,17129
Redwood,2019,2,17768
Redwood,2019,3,30938
Redwood,2019,4,33179
Redwood,2019,5,62796
Redwood,2019,6,76137
Redwood,2019,7,69750
Redwood,2019,8,55227
Redwood,2019,9,55568
Redwood,2019,10,42048
Redwood,2019,11,24430
Redwood,2019,12,19752
Redwood,2020,1,24128
Redwood,2020,2,21201
Redwood,2020,3,9079
Redwood,2020,4,5212
Redwood,2020,5,25258
Redwood,2020,6,29408
Redwood,2020,7,39126
Redwood,2020,8,38488
Redwood,2020,9,21343
Redwood,2020,10,21833
Redwood,2020,11,15981
Redwood,2020,12,14120
Redwood,2021,1,20692
Redwood,2021,2,20610
Redwood,2021,3,21547
Redwood,2021,4,25192
Redwood,2021,5,44248
Redwood,2021,6,53926
Redwood,2021,7,57475
Redwood,2021,8,59023
Redwood,2021,9,58829
Redwood,2021,10,39610
